Region,water,Latitude_N,Longitude,Location,Depth_m,Depth_range,SCOC (mmol O2 m-2 d-1),ex_in_situ,Measurement_sampling_device,TOU_DOU_AOU,sediment_type,photosynthetic_sediment,study
"Nichupte lagoon, Mexico",Atlantic Ocean,21.1409,-86.8048,approximated location,0.3,near-shore (0-50m),0,ex situ,core incubation,TOU,NA,yes,no
"Nichupte lagoon, Mexico",Atlantic Ocean,21.0766,-86.7987,approximated location,0.3,near-shore (0-50m),0,ex situ,core incubation,TOU,NA,yes,no
"Nichupte lagoon, Mexico",Atlantic Ocean,21.0766,-86.7987,approximated location,0.3,near-shore (0-50m),0,ex situ,core incubation,TOU,NA,yes,no
"Nichupte lagoon, Mexico",Atlantic Ocean,21.115,-86.7821,approximated location,0.3,near-shore (0-50m),0,ex situ,core incubation,TOU,NA,yes,no
Kiel Bight,Atlantic Ocean,54.42,10.21,approximated location,28,near-shore (0-50m),0,in situ,lander with benthic chambers,TOU,silt,no,no
Danube prodelta,Black Sea,44.58,29.18,exact location,27,near-shore (0-50m),0,in situ,lander with benthic chambers,TOU,NA,no,no
NW Black Sea shelf,Black Sea,43.7175,30.1033,exact location,181,continental shelf (>50-200m),0,in situ,lander with benthic chambers,TOU,NA,not investigated,no
"shelf edge, Black Sea",Black Sea,44,30.48,exact location,134,continental shelf (>50-200m),0,in situ,lander with benthic chambers,TOU,NA,no,no
Mar Piccolo of Taranto (Ionian Sea),Mediterranean Sea,40.49,17.25,approximated location,11.2,near-shore (0-50m),0,in situ,benthic incubation chamber,TOU,silt/ sand/ clay,yes,no
Golfo Dulce,Pacific Ocean,8.695,-83.395,exact location,205,continental slope (>200-2000m),0,ex situ ,core incubation,TOU,silt/ clay,not investigated,no
central Chile,Pacific Ocean,-36.5233,-73.1367,exact location,87,continental shelf (>50-200m),0,in situ,lander with benthic chambers,TOU,NA,no,no
central Chile,Pacific Ocean,-36.5233,-73.1367,exact location,87,continental shelf (>50-200m),0,in situ,lander with microprofiler,DOU,NA,no,no
central Chile,Pacific Ocean,-36.6217,-73.01,exact location,34,near-shore (0-50m),0,in situ,lander with benthic chambers,TOU,NA,no,no
central Chile,Pacific Ocean,-36.6217,-73.01,exact location,34,near-shore (0-50m),0,in situ,lander with microprofiler,DOU,NA,no,no
Mar Piccolo of Taranto (Ionian Sea),Mediterranean Sea,40.48,17.26,approximated location,11,near-shore (0-50m),0.01,in situ,benthic incubation chamber,TOU,silt/ sand/ clay,yes,no
E Mediterranean,Mediterranean Sea,35.67,26.58,exact location,1552,continental slope (>200-2000m),0.01,ex situ ,core incubation,TOU,NA,not investigated,no
N Greenland,Arctic Ocean,80.88,-3.83,exact location,3400,abyssal plain/ continental rise (>2000m),0.02,ex situ ,core incubation,TOU,silt,not investigated,no
NW Atlantic Ocean,Atlantic Ocean,34.75,-66.5,exact location,5200,abyssal plain/ continental rise (>2000m),0.02,in situ,lander with benthic chambers,TOU,silty clay,not investigated,no
equatorial Pacific Ocean,Pacific Ocean,-12,-135,approximated location,4300,abyssal plain/ continental rise (>2000m),0.02,in situ,lander with benthic chambers,TOU,NA,not investigated,no
Pacific Ocean,Pacific Ocean,31,-159,exact location,5900,abyssal plain/ continental rise (>2000m),0.03,in situ,lander with benthic chambers,TOU,clay,not investigated,no
"Taiwan, South China Sea",Pacific Ocean,21.0738,120.0752,exact location,3294,abyssal plain/ continental rise (>2000m),0.0391536,ex situ,core microprofiling,DOU,NA,not investigated,no
NW Atlantic Ocean,Atlantic Ocean,36.39,-68.07,exact location,4830,abyssal plain/ continental rise (>2000m),0.04,in situ,lander with benthic chambers,TOU,clayey silt,not investigated,no
"Taiwan, South China Sea",Pacific Ocean,22.3141,120.1495,exact location,702,continental slope (>200-2000m),0.0469465,ex situ,core microprofiling,DOU,NA,not investigated,no
Laptev Sea,Arctic Ocean,79.23,122.86,exact location,3237,abyssal plain/ continental rise (>2000m),0.05,ex situ ,core microprofiling,DOU,clay,not investigated,no
Whillans Subglacial Lake,Lake,-84.24,-153.694,exact location,803,continental slope (>200-2000m),0.05,ex situ,processes model,TOU,NA,not investigated,no
E Mediterranean,Mediterranean Sea,35.33,28.73,exact location,3859,abyssal plain/ continental rise (>2000m),0.05,ex situ ,core incubation,TOU,NA,not investigated,no
Pacific Ocean,Pacific Ocean,28.03,-155.03,exact location,5668,abyssal plain/ continental rise (>2000m),0.05,in situ,porewater extraction,DOU,clay,not investigated,no
Amundsen Sea,Southern Ocean,-70.79,-119.51,exact location,2642,abyssal plain/ continental rise (>2000m),0.05,in situ,lander with microprofiler,DOU,NA,not investigated,no
Scotia Sea,Southern Ocean,-57.74,-25.63,exact location,3449,abyssal plain/ continental rise (>2000m),0.05,in situ,lander with microprofiler,DOU,NA,not investigated,no
