slmmc2a_px	slmmc2a_pc	slmmc2a_px	slmmc2a_pcon	slmmc2a_mx	slmmc2a_mc
0.00	415.00	0.00	0.2063	0.00	415.00
0.16	401.00	0.16	0.2063	0.10	403.50
0.49	374.00	0.49	0.2063	0.20	395.60
0.82	348.00	0.82	0.2063	0.30	387.60
1.15	323.00	1.15	0.2063	0.40	379.10
1.48	299.00	1.48	0.2063	0.50	374.40
1.81	276.00	1.81	0.2063	0.60	364.70
2.13	253.00	2.13	0.2063	0.70	
2.46	231.00	2.46	0.2063	0.80	359.30
2.63	221.00	2.63	0.2063	0.90	347.10
2.63	221.00	2.63	0.5040	1.00	338.40
2.79	211.00	2.79	0.5040	1.10	333.70
3.12	192.00	3.12	0.5040	1.20	328.40
3.45	176.00	3.45	0.5040	1.30	321.10
3.77	163.00	3.77	0.5040	1.40	311.10
4.10	152.00	4.10	0.5040	1.50	302.90
4.43	143.00	4.43	0.5040	1.60	294.00
4.76	137.00	4.76	0.5040	1.70	286.00
5.09	134.00	5.09	0.5040	1.80	277.10
5.25	133.00	5.25	0.5040	1.90	271.60
5.25	133.00	5.25		2.00	259.80
5.41	133.00	5.41		2.10	248.20
5.74	132.00	5.74		2.20	235.00
6.07	131.00	6.07		2.30	228.10
6.40	130.00	6.40		2.40	218.80
6.73	130.00	6.73		2.50	221.80
7.06	129.00	7.06		2.60	217.00
7.38	128.00	7.38		2.70	215.00
7.71	127.00	7.71		7.50	140.10
8.04	126.00	8.04		9.50	139.50
8.37	125.00	8.37		11.50	102.50
8.70	124.00	8.70		13.50	88.30
9.02	123.00	9.02		15.50	74.10
9.35	122.00	9.35		17.50	61.10
9.68	121.00	9.68		19.50	45.50
10.00	120.00	10.00		21.50	37.90
10.30	119.00	10.30		23.50	26.50
10.70	117.00	10.70		25.50	16.06
11.00	115.00	11.00		27.50	10.14
11.30	113.00	11.30		29.50	0.40
11.70	110.00	11.70		31.50	0.00
12.00	107.00	12.00			
12.30	104.00	12.30			
12.60	100.00	12.60			
13.00	96.90	13.00			
13.10	95.20	13.10			
13.10	95.20	13.10	0.0084		
13.30	93.50	13.30	0.0084		
13.60	90.20	13.60	0.0084		
14.00	87.10	14.00	0.0084		
14.30	84.10	14.30	0.0084		
14.60	81.20	14.60	0.0084		
14.90	78.50	14.90	0.0084		
15.30	76.00	15.30	0.0084		
15.60	73.60	15.60	0.0084		
15.80	72.50	15.80	0.0084		
15.80	72.50	15.80	0.0014		
15.90	71.40	15.90	0.0014		
16.20	69.20	16.20	0.0014		
16.60	67.00	16.60	0.0014		
16.90	64.80	16.90	0.0014		
17.20	62.50	17.20	0.0014		
17.60	60.30	17.60	0.0014		
17.90	58.20	17.90	0.0014		
18.20	56.00	18.20	0.0014		
18.50	53.90	18.50	0.0014		
18.90	51.80	18.90	0.0014		
19.20	49.80	19.20	0.0014		
19.50	47.80	19.50	0.0014		
19.90	45.80	19.90	0.0014		
20.20	43.80	20.20	0.0014		
20.50	41.90	20.50	0.0014		
20.80	40.00	20.80	0.0014		
21.20	38.10	21.20	0.0014		
21.50	36.20	21.50	0.0014		
21.80	34.40	21.80	0.0014		
22.20	32.60	22.20	0.0014		
22.50	30.90	22.50	0.0014		
22.80	29.20	22.80	0.0014		
23.10	27.50	23.10	0.0014		
23.50	25.90	23.50	0.0014		
23.80	24.40	23.80	0.0014		
24.10	22.90	24.10	0.0014		
24.50	21.40	24.50	0.0014		
24.80	20.00	24.80	0.0014		
25.10	18.60	25.10	0.0014		
25.40	17.30	25.40	0.0014		
25.80	16.00	25.80	0.0014		
26.10	14.70	26.10	0.0014		
26.40	13.30	26.40	0.0014		
26.70	12.00	26.70	0.0014		
27.10	10.70	27.10	0.0014		
27.40	9.39	27.40	0.0014		
27.70	8.09	27.70	0.0014		
28.10	6.83	28.10	0.0014		
28.40	5.61	28.40	0.0014		
28.70	4.43	28.70	0.0014		
28.90	3.86	28.90	0.0014		
28.90	3.86	28.90	0.0049		
29.00	3.29	29.00	0.0049		
29.40	2.30	29.40	0.0049		
29.70	1.45	29.70	0.0049		
30.00	0.75	30.00	0.0049		
30.40	0.20	30.40	0.0049		
30.70	-0.21	30.70	0.0049		
31.01	-0.48	31.01	0.0049		
31.34	-0.61	31.34	0.0049		
31.50	-0.61	31.50	0.0049		
31.50	-0.61	31.50	0.0049		
31.01	-1.25	31.01	0.0049		
31.34	-1.45	31.34	0.0049		
31.50	-1.45	31.50	0.0049		
31.50	-1.45	31.50	0.0049		
