slmmc2c_px	slmmc2c_pc	slmmc2c_px	slmmc2c_pcon	slmmc2c_mx	slmmc2c_mc
0	399	0	0.837	0	399
0.152	382	0.152	0.837	0.05	393
0.455	353	0.455	0.837	0.1	384.2
0.758	326	0.758	0.837	0.15	376.1
1.06	303	1.06	0.837	0.2	364.7
1.36	283	1.36	0.837	0.25	363.1
1.67	267	1.67	0.837	0.3	357.9
1.97	254	1.97	0.837	0.35	349.3
2.27	245	2.27	0.837	0.4	346.1
2.58	239	2.58	0.837	0.45	342.1
2.73	238	2.73	0.837	0.5	335.1
2.73	238	2.73	0.004	0.55	329.5
2.88	236	2.88	0.004	0.6	325.5
3.18	234	3.18	0.004	0.65	322.6
3.49	231	3.49	0.004	0.7	319.1
3.79	229	3.79	0.004	0.75	315.7
4.09	226	4.09	0.004	0.8	313.1
4.39	224	4.39	0.004	0.85	310.1
4.7	221	4.7	0.004	0.9	307.8
5	219	5	0.004	1	309
5.3	216	5.3	0.004	1.1	304
5.61	214	5.61	0.004	1.2	299.9
5.91	211	5.91	0.004	1.3	298
6.21	208	6.21	0.004	1.4	293.8
6.52	206	6.52	0.004	1.5	282.8
6.82	203	6.82	0.004	1.6	279.8
7.12	200	7.12	0.004	1.7	275
7.42	198	7.42	0.004	1.8	271.4
7.73	195	7.73	0.004	1.9	264
8.03	192	8.03	0.004	2	256.5
8.18	191	8.18	0.004	2.2	252.2
8.18	191	8.18		2.4	246
8.33	189	8.33		2.6	241.1
8.64	186	8.64		2.8	237.5
8.94	184	8.94		3	234.7
9.24	181	9.24		3.2	232.1
9.55	178	9.55		3.4	232
9.85	175	9.85		3.6	230
10.2	172	10.2		3.8	226
10.5	169	10.5		4	223
10.8	165	10.8		4.2	220
10.9	163	10.9		6	180
10.9	163	10.9	0.044	8	187.5
11.1	161	11.1	0.044	10	182.1
11.4	156	11.4	0.044	12	134.6
11.7	150	11.7	0.044	14	117.7
12	144	12	0.044	16	98.6
12.3	138	12.3	0.044	18	81.4
12.6	132	12.6	0.044	20	63.8
12.9	127	12.9	0.044	22	42.4
13.2	123	13.2	0.044	24	26.1
13.5	120	13.5	0.044	26	
13.6	119	13.6	0.044	28	0.5
13.6	119	13.6	0.001	30	0.4
13.8	117	13.8	0.001	32	0
14.1	115	14.1	0.001	34	0
14.4	112	14.4	0.001		
14.7	109	14.7	0.001		
15	106	15	0.001		
15.3	104	15.3	0.001		
15.6	101	15.6	0.001		
15.9	98	15.9	0.001		
16.2	95.3	16.2	0.001		
16.5	92.5	16.5	0.001		
16.8	89.7	16.8	0.001		
17.1	86.9	17.1	0.001		
17.4	84.1	17.4	0.001		
17.7	81.3	17.7	0.001		
18	78.5	18	0.001		
18.3	75.8	18.3	0.001		
18.6	73.1	18.6	0.001		
18.9	70.4	18.9	0.001		
19.2	67.7	19.2	0.001		
19.6	65.2	19.6	0.001		
19.9	62.6	19.9	0.001		
20.2	60.1	20.2	0.001		
20.5	57.7	20.5	0.001		
20.8	55.2	20.8	0.001		
21.1	52.7	21.1	0.001		
21.4	50.2	21.4	0.001		
21.7	47.7	21.7	0.001		
22	45.2	22	0.001		
22.3	42.7	22.3	0.001		
22.6	40.3	22.6	0.001		
22.9	37.9	22.9	0.001		
23.2	35.6	23.2	0.001		
23.5	33.3	23.5	0.001		
23.8	31.1	23.8	0.001		
24.1	28.9	24.1	0.001		
24.4	26.7	24.4	0.001		
24.7	24.5	24.7	0.001		
25	22.4	25	0.001		
25.3	20.2	25.3	0.001		
25.6	18.1	25.6	0.001		
25.9	16	25.9	0.001		
26.2	13.9	26.2	0.001		
26.5	11.8	26.5	0.001		
26.8	9.71	26.8	0.001		
27.1	7.64	27.1	0.001		
27.3	6.61	27.3	0.001		
27.3	6.61	27.3	0.010		
27.4	5.58	27.4	0.010		
27.7	3.73	27.7	0.010		
28	2.1	28	0.010		
28.3	0.688	28.3	0.010		
28.6	-0.485	28.6	0.010		
28.9	-1.42	28.9	0.010		
29.2	-2.13	29.2	0.010		
29.6	-2.6	29.6	0.010		
29.9	-2.83	29.9	0.010		
30	-2.83	30	0.010		
30	-2.83	30			
