wgzmc9a4_px	wgzmc9a4_pc	wgzmc9a4_px	wgzmc9a4_pcon	wgzmc9a4_mx	wgzmc9a4_mc
0.00	291.9	0	15.5808	0	291.8506
0.01	282.8	0.013	15.5808	0.1	236.142
0.04	265.3	0.039	15.5808	0.2	172.9132
0.07	248.5	0.065	15.5808	0.3	102.3764
0.09	232.4	0.091	15.5808	0.4	86.3107
0.12	217	0.117	15.5808	0.5	69.7285
0.14	202.2	0.143	15.5808	0.6	53.3554
0.17	188.1	0.169	15.5808	0.7	45.95
0.20	174.7	0.195	15.5808	0.8	42.1675
0.22	162	0.221	15.5808	0.9	38.94
0.25	150	0.247	15.5808	1	36.4485
0.27	138.6	0.273	15.5808	1.1	34.0301
0.30	127.9	0.299	15.5808	1.2	34.3013
0.33	117.9	0.325	15.5808	1.3	34.2313
0.35	108.6	0.351	15.5808	1.4	35.0789
0.38	99.91	0.377	15.5808	1.5	33.3044
0.40	91.94	0.403	15.5808	1.6	31.9694
0.43	84.64	0.429	15.5808	1.7	30.8262
0.46	78.03	0.455	15.5808	1.8	29.6563
0.48	72.09	0.481	15.5808	1.9	28.9589
0.51	66.83	0.507	15.5808	2	27.7804
0.53	62.25	0.533	15.5808	2.1	26.0719
0.56	58.34	0.559	15.5808	2.2	26.145
0.59	55.12	0.585	15.5808	2.3	25.5035
0.61	52.58	0.611	15.5808	2.4	24.8651
0.64	50.71	0.637	15.5808	2.5	23.1409
0.65	50.12	0.65	15.5808	2.6	23.2297
0.65	50.12	0.65	0.98748	5	9.3955
0.66	49.52	0.663	0.98748	9	0.7268
0.69	48.38	0.689	0.98748	11	0.6644
0.72	47.28	0.715	0.98748	17	0
0.74	46.22	0.741	0.98748		
0.77	45.21	0.767	0.98748		
0.79	44.23	0.793	0.98748		
0.82	43.31	0.819	0.98748		
0.85	42.42	0.845	0.98748		
0.87	41.58	0.871	0.98748		
0.90	40.78	0.897	0.98748		
0.92	39.99	0.923	0.98748		
0.95	39.19	0.949	0.98748		
0.98	38.38	0.975	0.98748		
1.00	37.56	1.001	0.98748		
1.03	36.77	1.027	0.98748		
1.05	36.04	1.053	0.98748		
1.08	35.37	1.079	0.98748		
1.11	34.75	1.105	0.98748		
1.13	34.2	1.131	0.98748		
1.16	33.7	1.157	0.98748		
1.18	33.26	1.183	0.98748		
1.21	32.87	1.209	0.98748		
1.24	32.55	1.235	0.98748		
1.26	32.28	1.261	0.98748		
1.29	32.07	1.287	0.98748		
1.30	32	1.3	0.98748		
1.30	32	1.3			
1.31	31.92	1.313			
1.34	31.77	1.339			
1.37	31.62	1.365			
1.39	31.47	1.391			
1.42	31.32	1.417			
1.44	31.17	1.443			
1.47	31.02	1.469			
1.50	30.87	1.495			
1.52	30.72	1.521			
1.55	30.57	1.547			
1.57	30.42	1.573			
1.60	30.26	1.599			
1.63	30.11	1.625			
1.65	29.96	1.651			
1.68	29.81	1.677			
1.70	29.66	1.703			
1.73	29.51	1.729			
1.76	29.36	1.755			
1.78	29.21	1.781			
1.81	29.06	1.807			
1.83	28.91	1.833			
1.86	28.76	1.859			
1.89	28.61	1.885			
1.91	28.46	1.911			
1.94	28.3	1.937			
1.96	28.14	1.963			
1.99	27.97	1.989			
2.02	27.79	2.015			
2.04	27.62	2.041			
2.07	27.44	2.067			
2.09	27.27	2.093			
2.12	27.09	2.119			
2.15	26.92	2.145			
2.17	26.74	2.171			
2.20	26.57	2.197			
2.22	26.39	2.223			
2.25	26.21	2.249			
2.28	26.04	2.275			
2.30	25.86	2.301			
2.33	25.69	2.327			
2.35	25.51	2.353			
2.38	25.34	2.379			
2.41	25.16	2.405			
2.43	24.99	2.431			
2.46	24.81	2.457			
2.48	24.63	2.483			
2.51	24.46	2.509			
2.54	24.28	2.535			
2.56	24.11	2.561			
2.59	23.93	2.587			
2.60	23.84	2.6			
